ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate
31316,Armand Mevis,Dutch,Male,1963,0
2859,Gerald Jackson,American,Male,1943,0
2254,April Gornik,American,Female,1953,0
5594,Eric Staller,American,Male,1947,0
5875,Rolf Tietgens,German,Male,1911,1984
42634,Frances Kuehn,,,0,0
28956,Mika Rottenberg,Israeli,Female,1976,0
630,Alighiero Boetti,Italian,Male,1940,1994
3229,Josef Koudelka,Czech,Male,1938,0
6957,Madelon Vriesendorp,Dutch,Female,1945,0
22899,Paul Schweikher,American,Male,1903,1997
6531,Julio Augusto Zachrisson,Panamanian,Male,1930,0
5401,Everett Shinn,American,Male,1873,1953
50019,Juan Alberto Molenberg,Argentine,Male,1921,2011
7666,Eugène Druet,French,Male,1868,1917
9506,"Blenko Glass Co., Inc., Milton, WV",American,,1893,0
8174,Marty Kohn,Canadian,Male,1953,0
9206,S.M. Hexter Company,,,0,0
71841,Mary Kelly,American,Female,1941,0
69821,Pádraig Timoney,Irish,Male,1968,0
465,W. T. Benda,American,Male,1873,1948
45686,Rodney Graham Band,,,0,0
23925,Serhii Borovyi,,,0,0
4585,Mischa Petrow,Nationality unknown,Male,0,0
3532,Ernst Van Leyden,American,Male,1892,1969
1782,Connor Everts,American,Male,1928,2016
8841,Hugo Herdeg,Swiss,Male,1909,1953
48813,Željko Koprolčec,Croatian,,0,0
8021,Per Jari,Swedish,,1951,0
3979,Gjon Mili,American,Male,1904,1984
131723,Barbara Jones-Hogu,American,Female,1938,2017
8066,Arnold Crane,American,Male,1932,0
7695,José Gabriel Gonzáles,Peruvian,Male,1900,1978
24540,Robert Petschow,German,Male,1888,1945
759,Carl-Arne Breger,Swedish,Male,1923,0
2776,Luchita Hurtado,American,Female,1920,2020
26158,Wolfram Peters,Dutch,Male,1952,0
132735,Yuli Karasik,Russian,Male,1923,2005
3864,Michael Mazur,American,Male,1935,2009
10490,"Loewe S.A., Madrid",,,0,0
3587,Richard Paul Lohse,Swiss,Male,1902,1988
47039,Aktuální umĕni,,,1964,0
26812,Archizoom Associati,Italian,,1966,1974
3138,Richard Kleinberg,American,Male,1949,0
7085,Paul Castrucci,American,Male,1978,0
2268,Adolph Gottlieb,American,Male,1903,1974
32102,Giorgio Ceretti,Italian,Male,1932,0
1687,Benni Efrat,Israeli,Male,0,0
1195,Gianni Colombo,Italian,Male,1937,1993
7125,Keith Morrow Martin,American,Male,1911,1983
6134,JoAnn Verburg,American,Female,1950,0
32,Atelier Eggers,French,,0,0
3312,Ant Kurvers,Dutch,Male,0,0
654,Bona,Italian,Female,1926,0
7522,Nobuyoshi Araki,Japanese,Male,1940,0
5010,Osvaldo Romberg,Argentine,Male,1938,0
9891,"Menlo Textiles, Menlo Park, CA",,,1920,0
5605,Larry Stark,American,Male,1940,0
5585,Erich Walter Stadler,German,Male,1927,1968
1972,Mary Frank,American,Female,1933,0
8373,Betty Goodwin,Canadian,Female,1923,2008
28668,Jim Isermann,American,Male,1955,0
8036,Wayman R. Spence,American,Male,1934,0
10042,"Tyke Corporation, Chicago, IL",,,0,0
5768,Ivan Tabakovic,Yugoslav,Male,1898,1977
38695,Pierre Chareau,French,Male,1883,1950
33222,Maja Bajevic,Bosnian,Female,1967,0
5966,Jakob Tuggener,Swiss,Male,1904,1988
6576,Alfred Karl Zlevor,Austrian,Male,1942,0
1275,Morison S. Cousins,American,Male,1934,2001
34933,Mick Rock,British,Male,1949,0
4238,Robert Natkin,American,Male,1930,2010
67838,Edmund Edel,German,Male,1863,1934
50083,Richard Learoyd,British,Male,1966,0
26661,Agnès Varda,French,Female,1928,2019
12101,Niele Toroni,Swiss,Male,1937,0
5568,Serge Spitzer,American,Male,1951,2012
47648,"Richard ""Dickie"" Landry",,,0,0
5214,Elso Schiavo,Swiss,Male,1934,0
4944,Jacinto H. Rivero Castilla,Peruvian,Male,0,0
8697,Ergonomi Design Gruppen (now Veryday),Swedish,,1969,0
4190,Peter Mussfeldt,Ecuadorian,Male,1938,0
35485,Doug Hall,American,Male,1944,0
4015,Mirko,Italian,,0,0
4295,Robert Lovis Nicoidski,Swiss,Male,1931,2001
38921,Emiliano Godoy,Mexican,Male,1974,0
7227,"Unknown Designer, Chinese",Chinese,,0,0
31901,Oscar Eagle,American,Male,1861,1930
7160,Geoffrey James,Canadian,Male,1942,0
6113,Gene Vass,American,Male,1922,1996
33737,Robert Cahen,French,Male,1945,0
5058,Ker-Xavier Roussel,French,Male,1867,1944
34729,Weng Fen,Chinese,Male,1961,0
30694,Patrick Jouin,French,Male,1967,0
5628,Steiner,Swiss,,0,0
2743,Alfred Hrdlicka,Austrian,Male,1928,0
3920,Xavier Mellery,Belgian,Male,1845,1921
10960,"AT&T Bell Laboratories, Murray Hill, NJ",American,,1925,0
5560,Andrew Spence,American,Male,1947,0
4480,Hally Pancer,American,Female,1961,0
27315,William Bradford,American,Male,1823,1892
39477,Chris Sugrue,American,Female,1978,0
35634,Tsurumaki Kazuya,Japanese,Male,1966,0
75564,Wesley Sharer,American,Male,0,0
3088,Edward Kienholz,American,Male,1927,1994
24459,Olga Deineko,Russian,Female,1897,1970
39362,Mazzanti & Arquitectos,,,0,0
7872,Kenneth Bushnell,,Male,1933,0
45673,Kitty Byrne,,,0,0
41136,Tom Arndt,American,Male,1944,0
28388,Andreas Vogler,Swiss,Male,1964,0
47112,Donald Elliot Ingber,American,Male,1956,0
9199,"Bang & Olufsen, Struer, Denmark",,,1925,0
67440,Iskra Grabulovski,Macedonian,Female,1936,2008
47681,Adam McEwen,British,Male,1965,0
35796,Henry Flynt,American,Male,1940,0
8413,Günter Zamp Kelp,Austrian,Male,1941,0
8016,Howatt Archery,Nationality unknown,,0,0
9102,"Benedikt von Poschinger Kristallwarenfabric, Oberzwieslau, Germany",,,0,0
7636,IBM Corporation,American,,1911,0
5378,John Byam Shaw,British,Male,1872,1919
39187,"PIKO, Sonneberg, Germany",,,0,0
3504,Léo Leuppi,Swiss,Male,1893,1972
3774,Marisol (Marisol Escobar),Venezuelan,Female,1930,2016
6801,William Stone Reverón,Venezuelan,Male,1945,0
3623,Tekening Lucerbert,Dutch,,0,0
2811,Gérald Incandela,American,Male,1952,0
35270,Yui Kugimiya,Japanese,Female,1981,0
5013,Nelson Ronsheim,American,Male,0,0
41379,Oskar Birckenbach,,,0,0
28187,Lisa Fromartz,American,Female,1946,0
4177,Nickolas Muray,American,Male,1892,1965
907,Cadavre Exquis,French,,0,0
6929,Trix Wetter,Swiss,,0,0
42923,Sarah Crowner,American,,1974,0
28708,Nick Mauss,American,Male,1980,0
3453,Colin Lee,American,Male,1953,0
2665,Un'ichi Hiratsuka,Japanese,Male,1895,1997
6302,Stanislaw Wejman,Polish,Male,1944,0
4509,Betty Parsons,American,Female,1900,1982
32253,Shalom Gorewitz,American,Male,1949,0
4870,Edda Renouf,American,Female,1943,0
28581,Peter Cain,American,Male,1959,1997
8420,Yoshihiro Kimura,Japanese,Male,1947,0
12318,Sergei Bobrov,Russian,Male,1889,1971
74775,Mikhail Belov,Russian,Male,1956,0
2696,Rudolf Hoflehner,Austrian,Male,1916,1995
69618,Jerry Lewis,American,Male,1926,2017
37919,Alfred Roller,Austrian,Male,1864,1935
45290,Peter van Riper,American,,1942,1998
32234,"Colli, Turin",,,0,0
4883,Jesús Reyes Ferreira,Mexican,Male,1882,1977
9620,"BP Solar (British Petroleum Solar), Aylesbury, England",,,0,0
30156,Guy Tillim,South African,Male,1962,0
7060,Margaret Lanzetta,American,Female,1957,0
24620,"Cleverline, the Netherlands",,,0,0
47252,Walter Jule,Canadian,Male,1940,0
3991,Edward Millman,American,Male,1907,1964
47,Raimund Abraham,American,Male,1933,2010
7725,Raphael Drouart,French,Male,1884,0
1084,José Chávez Morado,Mexican,Male,1909,2002
2941,Paul Joostens,Belgian,Male,1889,1960
40446,Juan Castillo,Chilean,Male,1952,0
48913,Will Burtin,American,Male,1908,1972
39282,Mahthilde Evans,,Female,0,0
48066,Michele De Lucchi,Italian,Male,1951,0
42816,Filip Dujardin,Belgian,Male,1971,0
41430,Panel,,,0,0
37886,Chris Kabel,Dutch,Male,1975,0
24090,Evgenii Goliakhovskii,,Male,0,0
4013,Victor Mira,Spanish,Male,1949,0
6705,L. Borgex,French,Male,1875,1959
5929,Otto Treumann,Dutch,Male,1919,0
10348,"Syn S.r.l., Italy",,,0,0
3914,Mohamed Melehi,Moroccan,Male,1936,0
26995,Walter Frederick Morrison,American,Male,1920,0
34835,Davidson Gigliotti,American,Male,1939,0
28689,Wes Lang,American,Male,1972,0
7436,Marlene McCarty,American,Female,1957,0
30071,Petra Mrzyk,German,,1973,0
49662,Yin Yin Wong,American,Male,1964,0
37586,Lacaton & Vassal Architectes,French,,1987,0
24881,George Mejat / Movietone News / Twentieth Century Fox,,,0,0
39505,Studio B/C,French,,2009,0
3618,Lu Chu Chuan,Chinese,,0,0
1424,José De Creeft,American,Male,1884,1982
5077,Anton Rüegg,Swiss,Male,0,0
22522,"Veglia Borletti, Milan",,,0,0
497,Ella Bergmann-Michel,German,Female,1896,1971
4882,Nancy Rexroth,American,Female,1946,0
6011,Unknown Designer,Nationality unknown,,0,0
67722,Unmade,British,,2014,0
3117,Eve Kirk,British,Female,1900,1969
30915,Jef Geys,Belgian,Male,1934,0
5612,Nikos Stavroulakis,Greek,Male,1932,2017
6634,Mimi Smith,American,Female,1942,0
4736,Zigmunds Priede,American,Male,1935,0
5121,Ibrahim El-Salahi,Sudanese,Male,1930,0
22829,Alex Wall,American,Male,1948,0
87,Lucien Aigner,American,Male,1901,1999
8246,Z. Robaszek,Nationality unknown,,0,0
33373,Michail Bletsas,Greek,Male,1967,0
48754,The Nichemakers,,,0,0
276,Mowry Thatcher Baden,American,Male,1936,0
3484,John Lennon,British,Male,1940,1980
116470,Francis Poulenc,French,,1899,1963
32147,Marchatti,,,0,0
31369,Julia Seyr,,Female,0,0
7661,Aldo Rossi,Italian,Male,1931,1997
35225,Art Workers' Coalition,,,0,0
7153,Moshe Zabari,American,Male,1935,0
48870,Hubert Hilscher,Polish,Male,1924,1999
330,Peter Bardazzi,American,Male,1943,0
38653,John Kelly,American,Male,1959,0
449,John Bellany,British,Male,1942,2013
7161,"Pulos Design Associates, Inc.",American,,0,0
56,Luis Alberto Acuña,Colombian,Male,1904,1994
6877,Chin Hsiao,Chinese,Male,1935,0
9616,"The Hobart Manufacturing Company, Troy, Ohio, established 1897",,,0,0
4887,John Reynolds,British,Male,0,0
6454,Don Worth,American,Male,1924,2009
4202,Takeo Nagasawa,Japanese,Male,0,0
43077,Aaron Kuriloff,American,,1929,0
41321,Poly Styrene (Marianne Joan Elliott-Said),British,Female,1957,2011
47165,Annie Leibovitz,American,Female,1949,0
34740,Philip Glass,American,Male,1937,0
9740,"Maison B. Bottet Père, Lyon",,,0,0
2714,Jenny Holzer,American,Female,1950,0
11017,"Stanley Home Products, Easthampton, MA",American,,1931,0
746,John Randall Bratby,British,Male,1928,1992
74152,Maria Bri-Bein,Russian,Female,1892,1968
32203,Joseph Chaiken,American,Male,1935,2003
38678,Mateo López,Colombian,Male,1978,0
34810,Adam Friedman,,Male,0,0
7672,Léon Vidal,French,Male,1833,1906
8399,Pierre Gauchat,Swiss,Male,1902,1956
28854,Benji Whalen,American,Male,1968,0
5189,Jan Sawka,Polish,Male,1946,2012
1417,Lucien Day,American,Male,1916,0
5847,Pär G. Thelander,Swedish,Male,1936,0
7500,Raymond Pettibon,American,Male,1957,0
38029,Roe Ethridge,American,Male,1969,0
5793,Reuben Tam,American,Male,1916,1991
736,Joe Brainard,American,Male,1942,1994
68033,Chung Chang-Sup,Korean,Male,1927,2011
1056,Roger Chailloux,Dutch,Male,0,0
7472,Gordon Cook,American,Male,1927,1985
7594,Maurizio Ficcadenti,Italian,Male,1970,0
6721,L. H. Monod,Nationality unknown,,0,0
36980,Walead Beshty,American,Male,1976,0
5861,Mildred Thompson,American,Female,1935,2003
1260,Marie Cosindas,American,Female,1923,2017
47913,Electroninks,,,0,0
8657,Dan Grossi/Associated Press,Nationality unknown,Male,0,0
2275,Roy Grace,American,Male,1936,0
23025,Barbara Ambrosz,Austrian,Female,1972,0
4848,Steve Reich,American,Male,1936,0
636,Theodor Bogler,German,Male,1897,1968
47667,Nelson Tarpenny,,,0,0
9972,"Hemco Plastics Div. of Bryant Electrical Co., Bridgeport, CT",American,,0,0
30850,Maria Thereza Alves,,Female,0,0
3949,Erno Metzner,German,Male,0,0
3691,Greta Magnusson Grossman,American,Female,1906,1999
47368,Jochen Wermann,,Male,0,0
6842,Haze,American,,1961,0
8575,Herbert Krenchel,Danish,Male,1922,0
8598,Glen Pettit/The New York Times,American,Male,1971,0
48621,Park Seo Bo,Korean,Male,1931,0
28944,"SQUINT/OPERA, London, England",,,2002,0
11348,Christian Zervos,French,Male,1889,1970
1340,Rolf Curt,German,Male,0,0
761,Raymond Breinin,American,Male,1910,2000
36687,Peter Lyle,,,0,0
43078,Sheela Gowda,Indian,Female,1957,0
7708,"U.S. Geological Survey and NASA, Surveyor III",American,,0,0
1098,Miriam Chiaverini,Brazilian,Female,0,0
33002,Beta Tank,British,,2007,0
1001,Flavio de R. Carvalho,Brazilian,Male,1899,1973
4762,Pierre Puvis de Chavannes,French,Male,1824,1898
35475,Danielle Jaeggi,Swiss,Female,1945,0
37910,Vincent Fecteau,American,Male,1969,0
28592,Bjorn Copeland,American,Male,1975,0
23746,M. Andreevskaia,,,0,0
5782,Takahama Kazuhide,Japanese,Male,1930,0
38211,Judy Woodborne,South African,Female,1966,0
5632,Otto Steinert,German,Male,1915,1978
3720,Alfred Manessier,French,Male,1911,1993
6776,Rimma Zanjevskaja,German,Female,0,0
47597,Sharp Corners,,,0,0
5315,Richard Seewald,German,Male,1889,1976
2786,Kyu-Baik Hwang,Korean,Male,1932,0
38257,Billy Apple,New Zealander,Male,1935,0
68380,Sam Contis,American,Female,1982,0
1481,Maurice Delcourt,French,Male,1877,1916
24645,Mikhail’ Tsybasov,,Male,0,0
3518,Leon Levinstein,American,Male,1910,1988
46529,Joseph Pleass,British,Male,1990,0
23056,W. D. Slater,British,,1923,0
28576,Maria Brunner,Austrian,Female,1962,0
45664,Ulises Carrión,Mexican,Male,1941,1989
4420,Emmanuel-Joseph-Raphael Orazi,French,Male,1860,1934
32909,Sandra Gamarra,Peruvian,Female,1972,0
48756,Poptastic,,,0,0
34840,Don Munroe,,Male,0,0
418,Leslie Beaton,American,Female,0,0
2335,Otto L. Grever,American,Male,1878,1936
2052,Jacek Gaj,Polish,Male,1938,0
38017,Martha Wilson,American,Female,1947,0
34884,Norman Cohn,Canadian,Male,1946,0
14520,"Propyläen-Verlag, Berlin",,,0,0
9386,Bent Nobert MDD Industrial Design APS,,,0,0
2751,Patrick Hughes,British,Male,0,0
74889,Shuzo Azuchi Gulliver,Japanese,Male,1947,0
28760,Jerry Phillips,American,Male,1958,0
35550,Laura Cottingham,American,Female,1959,0
1988,Mark Freeman,American,Male,1908,0
7137,Jack Stringer,American,Male,1927,0
31420,Nancy Grossman,American,Female,1940,0
9770,"The Hallicrafters Co., Chicago, IL",,,0,0
3524,Norman Lewis,American,Male,1909,1979
30861,Thomas Baumann,Austrian,Male,1967,0
12533,César Moro (Alfredo Quíspez Asín),Peruvian,Male,1903,1956
34145,Juan Melé,Argentine,Male,1923,2012
231,Anna Atkins,British,Female,1799,1871
9522,"Alessi, Crusinallo, Italy",Italian,,1921,0
3998,Marcello Minale,Italian,Male,1938,2000
163,Dennis Anderson,American,Male,1948,0
6451,Piet Worm,Dutch,Male,1909,1996
43430,Anthony Nomorosa,,Male,1988,0
11068,"Griscer Industries, Fort Wayne, IN",,,0,0
5656,Joel Sternfeld,American,Male,1944,0
5123,Charles Salisbury,British,Male,0,0
5621,Milly Steger,German,Female,1881,1948
28577,Berlinde De Bruyckere,Belgian,Female,1964,0
3387,Raoul François Larche,French,Male,1860,1912
46261,Nancy Burson,American,Female,1948,0
319,Thomas Bamberger,American,Male,1948,0
50005,Rubén Núñez,Venezuelan,Male,1930,2012
4514,Jules Pascin,American,Male,1885,1930
2836,Yukihisa Isobe,Japanese,Male,1936,0
46630,Massimo Banzi,Italian,Male,1968,0
47510,Eddie Ruscha,,,0,0
37642,Christien Meindertsma,Dutch,Female,1980,0
28817,Glenn Sorensen,Australian,Male,1968,0
2877,Bernhard Jaeger,German,Male,0,0
29706,Luis M. Mansilla,Spanish,Male,1959,2012
3838,Toshio Matsumoto,Japanese,Male,1932,2017
2386,Oswaldo Guayasamín,Ecuadorian,Male,1919,1999
48665,Juan Uslé,Spanish,Male,1954,0
47255,Gerald Holtom,British,Male,1914,1985
7357,Angelo Testa,American,Male,1921,1984
24547,Lev Kaplan,,,0,0
8229,Peter Wollbrandt,,Male,0,0
46441,W. Craig Carter,American,Male,1961,0
9130,"Bruno Danese, Milan, Italy",,,0,0
10129,"Neils Vodder, Cabinetmaker, Copenhagen",,,0,0
7090,Emily Carter,American,Female,0,0
5575,Everett Spruce,American,Male,1908,2002
6284,Svend Weihrauch,Danish,Male,1899,1962
1419,Worden Day,American,Female,1912,1986
22583,Chris Chapman,British,Male,1964,0
67667,Steve Kahn,American,male,1943,2018
29850,"RCR Arquitectes, Olot",,,1988,0
67810,Benjamin Crotty,American,Male,1979,0
