ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height,Width
4975,Photograph,10/12/1998,Y,56414,23.5,18
8059,Mies van der Rohe Archive,,N,145377,31.11506223,54.92760986
6545,Illustrated Book,06/10/1964,N,31626,22.8,28.2
5086,Print,17/11/2009,Y,128257,24.3,28.5
710,Print,03/10/2012,Y,150504,30.4,25.4
3016,Illustrated Book,01/05/1979,Y,12889,15.2,15.2
229,Photograph,06/03/1968,Y,40154,,
1492,Illustrated Book,06/10/1964,N,23961,6.3,6.9
41224,Photograph,20/02/2014,Y,177727,20,14
5623,Photograph,09/10/1997,Y,53108,19.4,24.3
2810,Print,15/05/1957,Y,60827,53.3,41.2
38678,Installation,13/10/2010,N,141986,3.5,12
665,Illustrated Book,06/10/1964,N,21603,28.4,22.7
25520,Photograph,11/05/2006,N,103342,30.4801,24.13
7067,Illustrated Book,05/03/1998,Y,406662,20.3,14.6
6621,Multiple,19/02/2014,Y,175662,90.80518161,58.42011684
132939,Photograph,07/10/2020,N,417824,25.5,20
6459,Architecture,04/05/1993,Y,83033,27.9,21.6
23390,Illustrated Book,24/01/2001,N,19885,33.3,25.8
1859,Print,04/06/2007,Y,407179,42,29.8
3503,Design,10/12/1981,Y,7809,127,90
44904,Architecture,06/10/2014,Y,184805,52.38760478,70.48514097
2841,Print,25/02/1980,Y,67136,,
101,Design,18/02/1943,N,163088,,
10519,Design,08/11/1961,Y,3352,12.065,
2002,Photograph,15/06/1995,N,49831,21.9,32.8
3528,Print,07/10/1971,Y,70136,51,51
7825,Photograph,10/06/1999,Y,49498,40,56.5
7166,Mies van der Rohe Archive,,N,299643,20.95504191,29.84505969
4706,Drawing,06/03/1962,Y,34042,58.7,83.5
31335,Print,01/06/2006,N,104798,47,31.5
2026,Design,17/01/1990,Y,4976,72.6,51.2
32472,Design,05/06/2007,Y,109201,20.955,14.9225
229,Photograph,06/03/1968,N,42607,,
229,Photograph,06/03/1968,N,42613,,
5047,Painting,10/02/1970,Y,80565,270.2,297.8
4866,Photograph,26/02/1981,Y,44732,22.7,16.7
7679,Print,10/11/2010,Y,142456,60.96012192,35.24257049
3025,Design,05/11/1970,Y,3944,,
625,Painting,02/06/1997,Y,102569,61,61
5016,Sculpture,06/04/1982,Y,80956,20,81.5
4571,Print,06/04/1954,Y,62938,31,42.9
5145,Photograph,28/05/2015,Y,193760,,
6540,Print,10/01/1974,N,75012,72.8,103.2
2177,Print,05/02/1968,Y,60792,31.8,23.7
7032,Photograph,14/06/2001,Y,58820,19.4,24.1
4609,Illustrated Book,06/10/1964,Y,29682,35,23.8
4502,Photograph,23/10/1980,Y,54657,12.5,10
630,Print,10/11/2010,N,157046,55,45
3757,Illustrated Book,10/10/1955,N,14229,15.2,10.9
3373,Photograph,15/06/1995,Y,50562,35.6,37.8
6333,Design,10/12/1963,Y,8084,115.5,153.6
5145,Photograph,28/05/2015,Y,193717,,
4945,Print,18/10/1967,N,78254,58.8,52.1
1237,Photograph,20/03/1986,Y,46756,34.9,43.1
4071,Sculpture,30/01/1953,Y,80846,77.2,35.2
12074,Illustrated Book,03/05/1977,Y,13594,18.8,13.5
3302,Illustrated Book,07/02/1967,N,26459,20.4,15.4
208,Photograph,13/05/2004,N,89224,38.1,38
23390,Work on Paper,,N,124691,73.66014732,50.8001016
3020,Design,22/05/1939,Y,7021,25.4,50.7
4609,Illustrated Book,03/10/2012,N,165079,21,16.3
229,Photograph,06/03/1968,Y,39169,,
3697,Illustrated Book,06/10/1964,N,27741,13.6,12.2
1559,Drawing,12/05/1970,Y,34917,48.9,27.3
1633,Print,09/11/1965,Y,143443,54,40
7166,Mies van der Rohe Archive,,Y,107213,38.1000762,53.97510795
4397,Print,23/01/1979,Y,74515,15.7,17.3
1807,Print,09/04/1963,N,64840,48.7,35.7
7961,Drawing,08/02/2005,Y,94488,48.2601,23.8125
5042,Drawing,10/05/2005,Y,97204,15.24,10.16
50083,Photograph,12/11/2019,Y,401819,121.2852426,171.4503429
3147,Painting,13/06/1978,Y,79792,110.5,110.5
6008,Photograph,14/06/2001,Y,58799,16.7,20.9
1629,Photograph,17/12/1981,Y,54225,15.1,21.2
229,Photograph,06/03/1968,Y,41183,,
1784,Drawing,21/03/2018,Y,220962,46.1,69.5
5926,Design,17/05/1983,Y,7411,61,45.6
3048,Print,22/01/1992,Y,68255,82,39.5
29427,Drawing,08/10/2008,Y,127471,40.1,24
607,Photograph,13/10/1994,Y,53933,57.4,47
3939,Photograph,10/05/1973,Y,49491,22.6,33.7
1201,Drawing,,Y,86116,51.1,33.7
6168,Architecture,10/06/2016,N,204188,57.1501143,88.9001778
6362,Design,16/06/1955,Y,5567,87,86.4
833,Illustrated Book,02/05/1990,N,14012,21.8,25.8
38678,Installation,13/10/2010,N,141895,4.44500889,0.476250953
11799,Design,30/10/1937,N,6227,102.2,64.1
4609,Print,24/03/1949,Y,65094,27.8,19.7
2358,Photograph,09/06/1994,N,51173,5.4,6.7
7928,Ephemera,08/06/2016,Y,206069,27.9,21.6
5042,Print,11/03/2004,Y,99000,17.3,14.4
4569,Illustrated Book,22/04/1959,N,19803,27.9,37.5
3748,Print,19/12/1956,Y,72919,10.8,2.8
,Periodical,10/11/2010,N,144458,30.8,23.2
869,Design,10/12/1999,Y,7743,30.6,21.1
41829,Print,,N,196144,,
35728,Drawing,08/10/2008,N,131382,9.2,14
4744,Illustrated Book,10/02/1977,Y,10812,35,27.5
1055,Illustrated Book,06/10/1964,N,22918,29.6,23.8
28800,Drawing,10/05/2005,Y,97353,83.18516637,98.42519685
37653,Work on Paper,,N,124687,73.66014732,50.8001016
1039,Print,10/11/1976,Y,70292,89.6,66.3
1973,Photograph,22/04/1959,N,52942,21.3,32.5
1388,Drawing,12/05/2011,Y,147013,31.11506223,22.54254509
5640,Drawing,28/04/1981,Y,34201,27.9,21.6
229,Photograph,06/03/1968,Y,43705,,
229,Photograph,06/03/1968,Y,39810,,
5640,Drawing,28/04/1981,Y,33779,12.7,7.6
5863,Photograph,26/02/1981,N,92854,47.2,34
2419,Illustrated Book,05/02/1968,Y,11187,30.4,22.9
2915,Illustrated Book,18/10/1967,N,32538,7.4,9.9
6011,Design,07/03/1968,Y,2727,41.2751,64.2939
46384,Architecture,06/10/2014,Y,184969,20.32004064,25.4000508
41829,Print,07/02/2013,N,169196,,
4434,Print,10/01/1974,Y,77655,54.5,45.6
1859,Print,04/06/2007,Y,407223,42,29.8
8476,Photograph,24/05/2001,Y,77060,22.3,15.3
5121,Drawing,30/03/2017,Y,294359,28.57505715,16.82753366
41829,Print,07/02/2013,N,169137,,
6109,Print,10/02/1969,N,166579,,
6329,Photograph,12/11/1935,Y,48908,19.2,24.4
710,Print,03/10/2012,Y,150611,10.8,6.8
