ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height,Width
1,Drawing,28/04/1981,Y,33599,105.7,75.9
3,Photograph,15/10/1981,Y,51005,28,38.2
3,Photograph,07/03/1972,Y,46203,28.1,58.2
5,Design,30/05/1979,Y,82998,100,62
9,Design,20/05/1952,Y,5201,96.8,63.5
11,Illustrated Book,06/10/1964,Y,20174,22.8,20.4
11,Illustrated Book,06/10/1964,Y,20136,15.5,11
11,Illustrated Book,06/10/1964,Y,20185,8.2,8.3
11,Illustrated Book,06/10/1964,Y,20212,22.8,19.5
11,Illustrated Book,06/10/1964,Y,20137,9.1,8
