,ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate
10878,31316,Armand Mevis,Dutch,Male,1963,0
2537,2859,Gerald Jackson,American,Male,1943,0
1991,2254,April Gornik,American,Female,1953,0
5000,5594,Eric Staller,American,Male,1947,0
5255,5875,Rolf Tietgens,German,Male,1911,1984
13056,42634,Frances Kuehn,,,0,0
10380,28956,Mika Rottenberg,Israeli,Female,1976,0
545,630,Alighiero Boetti,Italian,Male,1940,1994
2872,3229,Josef Koudelka,Czech,Male,1938,0
6233,6957,Madelon Vriesendorp,Dutch,Female,1945,0
8926,22899,Paul Schweikher,American,Male,1903,1997
5844,6531,Julio Augusto Zachrisson,Panamanian,Male,1930,0
4827,5401,Everett Shinn,American,Male,1873,1953
14470,50019,Juan Alberto Molenberg,Argentine,Male,1921,2011
6784,7666,Eugène Druet,French,Male,1868,1917
7832,9506,"Blenko Glass Co., Inc., Milton, WV",American,,1893,0
7170,8174,Marty Kohn,Canadian,Male,1953,0
7720,9206,S.M. Hexter Company,,,0,0
14907,71841,Mary Kelly,American,Female,1941,0
14829,69821,Pádraig Timoney,Irish,Male,1968,0
398,465,W. T. Benda,American,Male,1873,1948
13460,45686,Rodney Graham Band,,,0,0
9169,23925,Serhii Borovyi,,,0,0
4095,4585,Mischa Petrow,Nationality unknown,Male,0,0
3143,3532,Ernst Van Leyden,American,Male,1892,1969
1563,1782,Connor Everts,American,Male,1928,2016
7633,8841,Hugo Herdeg,Swiss,Male,1909,1953
14238,48813,Željko Koprolčec,Croatian,,0,0
7046,8021,Per Jari,Swedish,,1951,0
3558,3979,Gjon Mili,American,Male,1904,1984
15143,131723,Barbara Jones-Hogu,American,Female,1938,2017
7083,8066,Arnold Crane,American,Male,1932,0
6812,7695,José Gabriel Gonzáles,Peruvian,Male,1900,1978
9364,24540,Robert Petschow,German,Male,1888,1945
664,759,Carl-Arne Breger,Swedish,Male,1923,0
2462,2776,Luchita Hurtado,American,Female,1920,2020
9524,26158,Wolfram Peters,Dutch,Male,1952,0
15200,132735,Yuli Karasik,Russian,Male,1923,2005
3452,3864,Michael Mazur,American,Male,1935,2009
8229,10490,"Loewe S.A., Madrid",,,0,0
3193,3587,Richard Paul Lohse,Swiss,Male,1902,1988
13727,47039,Aktuální umĕni,,,1964,0
9643,26812,Archizoom Associati,Italian,,1966,1974
2794,3138,Richard Kleinberg,American,Male,1949,0
6348,7085,Paul Castrucci,American,Male,1978,0
2005,2268,Adolph Gottlieb,American,Male,1903,1974
11021,32102,Giorgio Ceretti,Italian,Male,1932,0
1483,1687,Benni Efrat,Israeli,Male,0,0
1049,1195,Gianni Colombo,Italian,Male,1937,1993
6387,7125,Keith Morrow Martin,American,Male,1911,1983
5484,6134,JoAnn Verburg,American,Female,1950,0
16,32,Atelier Eggers,French,,0,0
2942,3312,Ant Kurvers,Dutch,Male,0,0
569,654,Bona,Italian,Female,1926,0
6656,7522,Nobuyoshi Araki,Japanese,Male,1940,0
4470,5010,Osvaldo Romberg,Argentine,Male,1938,0
7966,9891,"Menlo Textiles, Menlo Park, CA",,,1920,0
5009,5605,Larry Stark,American,Male,1940,0
4991,5585,Erich Walter Stadler,German,Male,1927,1968
1740,1972,Mary Frank,American,Female,1933,0
7338,8373,Betty Goodwin,Canadian,Female,1923,2008
10156,28668,Jim Isermann,American,Male,1955,0
7059,8036,Wayman R. Spence,American,Male,1934,0
8021,10042,"Tyke Corporation, Chicago, IL",,,0,0
5159,5768,Ivan Tabakovic,Yugoslav,Male,1898,1977
12375,38695,Pierre Chareau,French,Male,1883,1950
11274,33222,Maja Bajevic,Bosnian,Female,1967,0
5340,5966,Jakob Tuggener,Swiss,Male,1904,1988
5884,6576,Alfred Karl Zlevor,Austrian,Male,1942,0
1119,1275,Morison S. Cousins,American,Male,1934,2001
11590,34933,Mick Rock,British,Male,1949,0
3785,4238,Robert Natkin,American,Male,1930,2010
14629,67838,Edmund Edel,German,Male,1863,1934
14482,50083,Richard Learoyd,British,Male,1966,0
9625,26661,Agnès Varda,French,Female,1928,2019
8546,12101,Niele Toroni,Swiss,Male,1937,0
4976,5568,Serge Spitzer,American,Male,1951,2012
13892,47648,"Richard ""Dickie"" Landry",,,0,0
4652,5214,Elso Schiavo,Swiss,Male,1934,0
4418,4944,Jacinto H. Rivero Castilla,Peruvian,Male,0,0
7610,8697,Ergonomi Design Gruppen (now Veryday),Swedish,,1969,0
3748,4190,Peter Mussfeldt,Ecuadorian,Male,1938,0
11701,35485,Doug Hall,American,Male,1944,0
3591,4015,Mirko,Italian,,0,0
3837,4295,Robert Lovis Nicoidski,Swiss,Male,1931,2001
12410,38921,Emiliano Godoy,Mexican,Male,1974,0
6478,7227,"Unknown Designer, Chinese",Chinese,,0,0
10996,31901,Oscar Eagle,American,Male,1861,1930
6418,7160,Geoffrey James,Canadian,Male,1942,0
5464,6113,Gene Vass,American,Male,1922,1996
11313,33737,Robert Cahen,French,Male,1945,0
4514,5058,Ker-Xavier Roussel,French,Male,1867,1944
11442,34729,Weng Fen,Chinese,Male,1961,0
10618,30694,Patrick Jouin,French,Male,1967,0
5030,5628,Steiner,Swiss,,0,0
2434,2743,Alfred Hrdlicka,Austrian,Male,1928,0
3503,3920,Xavier Mellery,Belgian,Male,1845,1921
8411,10960,"AT&T Bell Laboratories, Murray Hill, NJ",American,,1925,0
4968,5560,Andrew Spence,American,Male,1947,0
3998,4480,Hally Pancer,American,Female,1961,0
9767,27315,William Bradford,American,Male,1823,1892
12505,39477,Chris Sugrue,American,Female,1978,0
11823,35634,Tsurumaki Kazuya,Japanese,Male,1966,0
15099,75564,Wesley Sharer,American,Male,0,0
2746,3088,Edward Kienholz,American,Male,1927,1994
9326,24459,Olga Deineko,Russian,Female,1897,1970
12494,39362,Mazzanti & Arquitectos,,,0,0
6927,7872,Kenneth Bushnell,,Male,1933,0
13455,45673,Kitty Byrne,,,0,0
12712,41136,Tom Arndt,American,Male,1944,0
9997,28388,Andreas Vogler,Swiss,Male,1964,0
13746,47112,Donald Elliot Ingber,American,Male,1956,0
7718,9199,"Bang & Olufsen, Struer, Denmark",,,1925,0
14565,67440,Iskra Grabulovski,Macedonian,Female,1936,2008
13903,47681,Adam McEwen,British,Male,1965,0
11846,35796,Henry Flynt,American,Male,1940,0
7372,8413,Günter Zamp Kelp,Austrian,Male,1941,0
7041,8016,Howatt Archery,Nationality unknown,,0,0
7689,9102,"Benedikt von Poschinger Kristallwarenfabric, Oberzwieslau, Germany",,,0,0
6756,7636,IBM Corporation,American,,1911,0
4807,5378,John Byam Shaw,British,Male,1872,1919
12457,39187,"PIKO, Sonneberg, Germany",,,0,0
3117,3504,Léo Leuppi,Swiss,Male,1893,1972
3367,3774,Marisol (Marisol Escobar),Venezuelan,Female,1930,2016
6097,6801,William Stone Reverón,Venezuelan,Male,1945,0
3224,3623,Tekening Lucerbert,Dutch,,0,0
2493,2811,Gérald Incandela,American,Male,1952,0
11651,35270,Yui Kugimiya,Japanese,Female,1981,0
4473,5013,Nelson Ronsheim,American,Male,0,0
12802,41379,Oskar Birckenbach,,,0,0
9944,28187,Lisa Fromartz,American,Female,1946,0
3735,4177,Nickolas Muray,American,Male,1892,1965
800,907,Cadavre Exquis,French,,0,0
6212,6929,Trix Wetter,Swiss,,0,0
13125,42923,Sarah Crowner,American,,1974,0
10195,28708,Nick Mauss,American,Male,1980,0
3072,3453,Colin Lee,American,Male,1953,0
2363,2665,Un'ichi Hiratsuka,Japanese,Male,1895,1997
5637,6302,Stanislaw Wejman,Polish,Male,1944,0
4025,4509,Betty Parsons,American,Female,1900,1982
11058,32253,Shalom Gorewitz,American,Male,1949,0
4354,4870,Edda Renouf,American,Female,1943,0
10071,28581,Peter Cain,American,Male,1959,1997
7379,8420,Yoshihiro Kimura,Japanese,Male,1947,0
8555,12318,Sergei Bobrov,Russian,Male,1889,1971
