,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
51870,4975.0,Photograph,10/12/1998,Y,56414,23.5,18.0
101541,8059.0,Mies van der Rohe Archive,,N,145377,31.11506223,54.92760986
29203,6545.0,Illustrated Book,06/10/1964,N,31626,22.8,28.2
93819,5086.0,Print,17/11/2009,Y,128257,24.3,28.5
103667,710.0,Print,03/10/2012,Y,150504,30.4,25.4
10961,3016.0,Illustrated Book,01/05/1979,Y,12889,15.2,15.2
36449,229.0,Photograph,06/03/1968,Y,40154,,
21594,1492.0,Illustrated Book,06/10/1964,N,23961,6.3,6.9
112356,41224.0,Photograph,20/02/2014,Y,177727,20.0,14.0
48836,5623.0,Photograph,09/10/1997,Y,53108,19.4,24.3
55643,2810.0,Print,15/05/1957,Y,60827,53.3,41.2
99980,38678.0,Installation,13/10/2010,N,141986,3.5,12.0
19248,665.0,Illustrated Book,06/10/1964,N,21603,28.4,22.7
85654,25520.0,Photograph,11/05/2006,N,103342,30.4801,24.13
129762,7067.0,Illustrated Book,05/03/1998,Y,406662,20.3,14.6
112111,6621.0,Multiple,19/02/2014,Y,175662,90.80518161,58.42011684
130604,132939.0,Photograph,07/10/2020,N,417824,25.5,20.0
74646,6459.0,Architecture,04/05/1993,Y,83033,27.9,21.6
17560,23390.0,Illustrated Book,24/01/2001,N,19885,33.3,25.8
129813,1859.0,Print,04/06/2007,Y,407179,42.0,29.8
6141,3503.0,Design,10/12/1981,Y,7809,127.0,90.0
113873,44904.0,Architecture,06/10/2014,Y,184805,52.38760478,70.48514097
61225,2841.0,Print,25/02/1980,Y,67136,,
107232,101.0,Design,18/02/1943,N,163088,,
2215,10519.0,Design,08/11/1961,Y,3352,12.065,
45693,2002.0,Photograph,15/06/1995,N,49831,21.9,32.8
63891,3528.0,Print,07/10/1971,Y,70136,51.0,51.0
45378,7825.0,Photograph,10/06/1999,Y,49498,40.0,56.5
128174,7166.0,Mies van der Rohe Archive,,N,299643,20.95504191,29.84505969
31310,4706.0,Drawing,06/03/1962,Y,34042,58.7,83.5
86219,31335.0,Print,01/06/2006,N,104798,47.0,31.5
3521,2026.0,Design,17/01/1990,Y,4976,72.6,51.2
88105,32472.0,Design,05/06/2007,Y,109201,20.955,14.9225
38899,229.0,Photograph,06/03/1968,N,42607,,
38905,229.0,Photograph,06/03/1968,N,42613,,
72873,5047.0,Painting,10/02/1970,Y,80565,270.2,297.8
40930,4866.0,Photograph,26/02/1981,Y,44732,22.7,16.7
100152,7679.0,Print,10/11/2010,Y,142456,60.96012192,35.24257049
2722,3025.0,Design,05/11/1970,Y,3944,,
85494,625.0,Painting,02/06/1997,Y,102569,61.0,61.0
73159,5016.0,Sculpture,06/04/1982,Y,80956,20.0,81.5
57503,4571.0,Print,06/04/1954,Y,62938,31.0,42.9
116481,5145.0,Photograph,28/05/2015,Y,193760,,
68248,6540.0,Print,10/01/1974,N,75012,72.8,103.2
55608,2177.0,Print,05/02/1968,Y,60792,31.8,23.7
54196,7032.0,Photograph,14/06/2001,Y,58820,19.4,24.1
27275,4609.0,Illustrated Book,06/10/1964,Y,29682,35.0,23.8
50179,4502.0,Photograph,23/10/1980,Y,54657,12.5,10.0
105795,630.0,Print,10/11/2010,N,157046,55.0,45.0
12187,3757.0,Illustrated Book,10/10/1955,N,14229,15.2,10.9
46388,3373.0,Photograph,15/06/1995,Y,50562,35.6,37.8
6408,6333.0,Design,10/12/1963,Y,8084,115.5,153.6
116438,5145.0,Photograph,28/05/2015,Y,193717,,
71196,4945.0,Print,18/10/1967,N,78254,58.8,52.1
42871,1237.0,Photograph,20/03/1986,Y,46756,34.9,43.1
73069,4071.0,Sculpture,30/01/1953,Y,80846,77.2,35.2
11612,12074.0,Illustrated Book,03/05/1977,Y,13594,18.8,13.5
24084,3302.0,Illustrated Book,07/02/1967,N,26459,20.4,15.4
79104,208.0,Photograph,13/05/2004,N,89224,38.1,38.0
92543,23390.0,Work on Paper,,N,124691,73.66014732,50.8001016
5411,3020.0,Design,22/05/1939,Y,7021,25.4,50.7
108228,4609.0,Illustrated Book,03/10/2012,N,165079,21.0,16.3
